"ID";"Sex";"Regions";"Periods";"LiveBornChildren_3";"NetMigrationIncludingAdministrative_17"
"473";"T001038";"PV22  ";"2006JJ00";"    5013";"     933"
"474";"T001038";"PV22  ";"2007JJ00";"    4858";"    1382"
"475";"T001038";"PV22  ";"2008JJ00";"    4914";"    1280"
"476";"T001038";"PV22  ";"2009JJ00";"    5022";"     556"
"477";"T001038";"PV22  ";"2010JJ00";"    4750";"     331"
"478";"T001038";"PV22  ";"2011JJ00";"    4616";"    -572"
"479";"T001038";"PV22  ";"2012JJ00";"    4406";"    -455"
"480";"T001038";"PV22  ";"2013JJ00";"    4174";"    -313"
"481";"T001038";"PV22  ";"2014JJ00";"    4302";"    -104"
"482";"T001038";"PV22  ";"2015JJ00";"    4029";"    1010"
"483";"T001038";"PV22  ";"2016JJ00";"    4208";"    4025"
"484";"T001038";"PV22  ";"2017JJ00";"    4191";"    1349"
"485";"T001038";"PV22  ";"2018JJ00";"    3992";"    1440"
"486";"T001038";"PV22  ";"2019JJ00";"    4110";"    2595"
"487";"T001038";"PV22  ";"2020JJ00";"    4135";"    2533"
"488";"T001038";"PV23  ";"1960JJ00";"   17611";"     572"
"489";"T001038";"PV23  ";"1961JJ00";"   17683";"    1003"
"490";"T001038";"PV23  ";"1962JJ00";"   17855";"    -763"
"491";"T001038";"PV23  ";"1963JJ00";"   18747";"    -881"
"492";"T001038";"PV23  ";"1964JJ00";"   19089";"    1096"
"493";"T001038";"PV23  ";"1965JJ00";"   18927";"    1136"
"494";"T001038";"PV23  ";"1966JJ00";"   18432";"    1098"
"495";"T001038";"PV23  ";"1967JJ00";"   18917";"   -3643"
"496";"T001038";"PV23  ";"1968JJ00";"   18872";"    -557"
"497";"T001038";"PV23  ";"1969JJ00";"   19456";"    1722"
"498";"T001038";"PV23  ";"1970JJ00";"   18675";"     854"
"499";"T001038";"PV23  ";"1971JJ00";"   17799";"    2405"
"500";"T001038";"PV23  ";"1972JJ00";"   17039";"    1234"
"501";"T001038";"PV23  ";"1973JJ00";"   15883";"    2289"
"502";"T001038";"PV23  ";"1974JJ00";"   15145";"    2912"
"503";"T001038";"PV23  ";"1975JJ00";"   14476";"    1911"
"504";"T001038";"PV23  ";"1976JJ00";"   14340";"    1156"
"505";"T001038";"PV23  ";"1977JJ00";"   14049";"    1893"
"506";"T001038";"PV23  ";"1978JJ00";"   14213";"    2151"
"507";"T001038";"PV23  ";"1979JJ00";"   14060";"    2456"
"508";"T001038";"PV23  ";"1980JJ00";"   14582";"    2962"
"509";"T001038";"PV23  ";"1981JJ00";"   14237";"    -168"
"510";"T001038";"PV23  ";"1982JJ00";"   13899";"   -1009"
"511";"T001038";"PV23  ";"1983JJ00";"   13761";"   -1637"
"512";"T001038";"PV23  ";"1984JJ00";"   13731";"   -2250"
"513";"T001038";"PV23  ";"1985JJ00";"   14059";"   -1903"
"514";"T001038";"PV23  ";"1986JJ00";"   13472";"     310"
"515";"T001038";"PV23  ";"1987JJ00";"   13550";"     902"
"516";"T001038";"PV23  ";"1988JJ00";"   13243";"     186"
"517";"T001038";"PV23  ";"1989JJ00";"   13480";"     921"
"518";"T001038";"PV23  ";"1990JJ00";"   13922";"     807"
"519";"T001038";"PV23  ";"1991JJ00";"   13679";"    1476"
"520";"T001038";"PV23  ";"1992JJ00";"   13893";"    1720"
"521";"T001038";"PV23  ";"1993JJ00";"   13845";"    1388"
"522";"T001038";"PV23  ";"1994JJ00";"   13853";"    1003"
"523";"T001038";"PV23  ";"1995JJ00";"   13231";"    -197"
"524";"T001038";"PV23  ";"1996JJ00";"   13314";"     -32"
"525";"T001038";"PV23  ";"1997JJ00";"   13533";"    1435"
"526";"T001038";"PV23  ";"1998JJ00";"   14088";"    1967"
"527";"T001038";"PV23  ";"1999JJ00";"   14284";"    2414"
"528";"T001038";"PV23  ";"2000JJ00";"   14924";"    3285"
"529";"T001038";"PV23  ";"2001JJ00";"   14562";"    2646"
"530";"T001038";"PV23  ";"2002JJ00";"   14663";"    1667"
"531";"T001038";"PV23  ";"2003JJ00";"   14857";"    -604"
"532";"T001038";"PV23  ";"2004JJ00";"   14098";"   -1005"
"533";"T001038";"PV23  ";"2005JJ00";"   13942";"    -690"
"534";"T001038";"PV23  ";"2006JJ00";"   13667";"   -1589"
"535";"T001038";"PV23  ";"2007JJ00";"   13368";"   -1074"
"536";"T001038";"PV23  ";"2008JJ00";"   13411";"     913"
"537";"T001038";"PV23  ";"2009JJ00";"   13260";"     757"
"538";"T001038";"PV23  ";"2010JJ00";"   13180";"     233"
"539";"T001038";"PV23  ";"2011JJ00";"   12651";"    -216"
"540";"T001038";"PV23  ";"2012JJ00";"   12367";"   -1263"
"541";"T001038";"PV23  ";"2013JJ00";"   12151";"   -2067"
"542";"T001038";"PV23  ";"2014JJ00";"   12092";"   -1509"
"543";"T001038";"PV23  ";"2015JJ00";"   11765";"    1843"
"544";"T001038";"PV23  ";"2016JJ00";"   11728";"    1837"
"545";"T001038";"PV23  ";"2017JJ00";"   11345";"    2743"
"546";"T001038";"PV23  ";"2018JJ00";"   11178";"    4271"
"547";"T001038";"PV23  ";"2019JJ00";"   11225";"    5286"
"548";"T001038";"PV23  ";"2020JJ00";"   11099";"    4614"
"549";"T001038";"PV24  ";"1960JJ00";"";""
"550";"T001038";"PV24  ";"1961JJ00";"";""
"551";"T001038";"PV24  ";"1962JJ00";"";""
"552";"T001038";"PV24  ";"1963JJ00";"";""
"553";"T001038";"PV24  ";"1964JJ00";"";""
"554";"T001038";"PV24  ";"1965JJ00";"";""
"555";"T001038";"PV24  ";"1966JJ00";"";""
"556";"T001038";"PV24  ";"1967JJ00";"";""
"557";"T001038";"PV24  ";"1968JJ00";"";""
"558";"T001038";"PV24  ";"1969JJ00";"";""
"559";"T001038";"PV24  ";"1970JJ00";"";""
"560";"T001038";"PV24  ";"1971JJ00";"";""
"561";"T001038";"PV24  ";"1972JJ00";"";""
"562";"T001038";"PV24  ";"1973JJ00";"";""
"563";"T001038";"PV24  ";"1974JJ00";"";""
"564";"T001038";"PV24  ";"1975JJ00";"";""
"565";"T001038";"PV24  ";"1976JJ00";"";""
"566";"T001038";"PV24  ";"1977JJ00";"";""
"567";"T001038";"PV24  ";"1978JJ00";"";""
"568";"T001038";"PV24  ";"1979JJ00";"";""
"569";"T001038";"PV24  ";"1980JJ00";"";""
"570";"T001038";"PV24  ";"1981JJ00";"";""
"571";"T001038";"PV24  ";"1982JJ00";"";""
"572";"T001038";"PV24  ";"1983JJ00";"";""
"573";"T001038";"PV24  ";"1984JJ00";"";""
"574";"T001038";"PV24  ";"1985JJ00";"";""
"575";"T001038";"PV24  ";"1986JJ00";"    3357";"    5454"
"576";"T001038";"PV24  ";"1987JJ00";"    3444";"    5745"
"577";"T001038";"PV24  ";"1988JJ00";"    3692";"    6114"
"578";"T001038";"PV24  ";"1989JJ00";"    3506";"    6356"
"579";"T001038";"PV24  ";"1990JJ00";"    3889";"    7155"
"580";"T001038";"PV24  ";"1991JJ00";"    3954";"    8498"
"581";"T001038";"PV24  ";"1992JJ00";"    3948";"    7858"
"582";"T001038";"PV24  ";"1993JJ00";"    4139";"    7389"
"583";"T001038";"PV24  ";"1994JJ00";"    4208";"    5907"
"584";"T001038";"PV24  ";"1995JJ00";"    4144";"    7808"
"585";"T001038";"PV24  ";"1996JJ00";"    4170";"    5901"
"586";"T001038";"PV24  ";"1997JJ00";"    4365";"    8811"
"587";"T001038";"PV24  ";"1998JJ00";"    4785";"   10013"
"588";"T001038";"PV24  ";"1999JJ00";"    4933";"    7435"
"589";"T001038";"PV24  ";"2000JJ00";"    5064";"    8339"
"590";"T001038";"PV24  ";"2001JJ00";"    5330";"    9085"
"591";"T001038";"PV24  ";"2002JJ00";"    5347";"    6083"
"592";"T001038";"PV24  ";"2003JJ00";"    5452";"    4976"
"593";"T001038";"PV24  ";"2004JJ00";"    5302";"    2344"
"594";"T001038";"PV24  ";"2005JJ00";"    5290";"    1456"
"595";"T001038";"PV24  ";"2006JJ00";"    5179";"     468"
"596";"T001038";"PV24  ";"2007JJ00";"    5219";"     982"
"597";"T001038";"PV24  ";"2008JJ00";"    5101";"    1523"
"598";"T001038";"PV24  ";"2009JJ00";"    5292";"    1086"
"599";"T001038";"PV24  ";"2010JJ00";"    5310";"     906"
"600";"T001038";"PV24  ";"2011JJ00";"    5090";"     624"
"601";"T001038";"PV24  ";"2012JJ00";"    4991";"     124"
"602";"T001038";"PV24  ";"2013JJ00";"    4687";"    -998"
"603";"T001038";"PV24  ";"2014JJ00";"    4922";"   -1183"
"604";"T001038";"PV24  ";"2015JJ00";"    4735";"    -210"
"605";"T001038";"PV24  ";"2016JJ00";"    4706";"    1415"
"606";"T001038";"PV24  ";"2017JJ00";"    4565";"    1582"
"607";"T001038";"PV24  ";"2018JJ00";"    4793";"    2581"
"608";"T001038";"PV24  ";"2019JJ00";"    4892";"    4073"
"609";"T001038";"PV24  ";"2020JJ00";"    4871";"    3066"
"610";"T001038";"PV25  ";"1960JJ00";"   27407";"    3072"
"611";"T001038";"PV25  ";"1961JJ00";"   28840";"    7563"
"612";"T001038";"PV25  ";"1962JJ00";"   29015";"    7261"
"613";"T001038";"PV25  ";"1963JJ00";"   29133";"    5484"
"614";"T001038";"PV25  ";"1964JJ00";"   29305";"    6147"
"615";"T001038";"PV25  ";"1965JJ00";"   28845";"    8073"
"616";"T001038";"PV25  ";"1966JJ00";"   28995";"    7112"
"617";"T001038";"PV25  ";"1967JJ00";"   28771";"    4999"
"618";"T001038";"PV25  ";"1968JJ00";"   28918";"    6493"
"619";"T001038";"PV25  ";"1969JJ00";"   30400";"    8283"
"620";"T001038";"PV25  ";"1970JJ00";"   29751";"   11208"
"621";"T001038";"PV25  ";"1971JJ00";"   28079";"    9713"
"622";"T001038";"PV25  ";"1972JJ00";"   26425";"    8864"
"623";"T001038";"PV25  ";"1973JJ00";"   24510";"    9808"
"624";"T001038";"PV25  ";"1974JJ00";"   23349";"    9211"
"625";"T001038";"PV25  ";"1975JJ00";"   22161";"   10137"
"626";"T001038";"PV25  ";"1976JJ00";"   22076";"    4868"
"627";"T001038";"PV25  ";"1977JJ00";"   21664";"    6093"
"628";"T001038";"PV25  ";"1978JJ00";"   21597";"    4438"
"629";"T001038";"PV25  ";"1979JJ00";"   21543";"    5323"
"630";"T001038";"PV25  ";"1980JJ00";"   22154";"    5712"
"631";"T001038";"PV25  ";"1981JJ00";"   21451";"    2177"
"632";"T001038";"PV25  ";"1982JJ00";"   20980";"    1092"
"633";"T001038";"PV25  ";"1983JJ00";"   20622";"    1682"
"634";"T001038";"PV25  ";"1984JJ00";"   21023";"    2828"
"635";"T001038";"PV25  ";"1985JJ00";"   21327";"    4740"
"636";"T001038";"PV25  ";"1986JJ00";"   22482";"    2975"
"637";"T001038";"PV25  ";"1987JJ00";"   22528";"    3601"
"638";"T001038";"PV25  ";"1988JJ00";"   22522";"    3405"
"639";"T001038";"PV25  ";"1989JJ00";"   22836";"    2188"
"640";"T001038";"PV25  ";"1990JJ00";"   23891";"    4349"
"641";"T001038";"PV25  ";"1991JJ00";"   24190";"    3305"
"642";"T001038";"PV25  ";"1992JJ00";"   23548";"    3349"
"643";"T001038";"PV25  ";"1993JJ00";"   23620";"    4762"
"644";"T001038";"PV25  ";"1994JJ00";"   23792";"    5297"
"645";"T001038";"PV25  ";"1995JJ00";"   23312";"    4458"
"646";"T001038";"PV25  ";"1996JJ00";"   23171";"    2856"
"647";"T001038";"PV25  ";"1997JJ00";"   23461";"    2844"
"648";"T001038";"PV25  ";"1998JJ00";"   24425";"    3188"
"649";"T001038";"PV25  ";"1999JJ00";"   24508";"    4594"
"650";"T001038";"PV25  ";"2000JJ00";"   25370";"    6378"
"651";"T001038";"PV25  ";"2001JJ00";"   24626";"    6423"
"652";"T001038";"PV25  ";"2002JJ00";"   24826";"    3406"
"653";"T001038";"PV25  ";"2003JJ00";"   24271";"    -643"
"654";"T001038";"PV25  ";"2004JJ00";"   23235";"   -2279"
"655";"T001038";"PV25  ";"2005JJ00";"   22202";"   -2100"
"656";"T001038";"PV25  ";"2006JJ00";"   22213";"   -3012"
"657";"T001038";"PV25  ";"2007JJ00";"   21191";"    -687"
"658";"T001038";"PV25  ";"2008JJ00";"   21695";"    1361"
"659";"T001038";"PV25  ";"2009JJ00";"   21350";"    2622"
"660";"T001038";"PV25  ";"2010JJ00";"   21142";"    1450"
"661";"T001038";"PV25  ";"2011JJ00";"   20557";"    2066"
"662";"T001038";"PV25  ";"2012JJ00";"   19835";"    2479"
"663";"T001038";"PV25  ";"2013JJ00";"   19683";"    1517"
"664";"T001038";"PV25  ";"2014JJ00";"   19851";"    4022"
"665";"T001038";"PV25  ";"2015JJ00";"   19525";"    7100"
"666";"T001038";"PV25  ";"2016JJ00";"   19499";"   11224"
"667";"T001038";"PV25  ";"2017JJ00";"   19534";"   11378"
"668";"T001038";"PV25  ";"2018JJ00";"   19347";"   11513"
"669";"T001038";"PV25  ";"2019JJ00";"   19426";"   13640"
"670";"T001038";"PV25  ";"2020JJ00";"   19885";"   11757"
"671";"T001038";"PV26  ";"1960JJ00";"   14257";"     652"
"672";"T001038";"PV26  ";"1961JJ00";"   14876";"    1652"
"673";"T001038";"PV26  ";"1962JJ00";"   14708";"    2755"
"674";"T001038";"PV26  ";"1963JJ00";"   15053";"    2626"
"675";"T001038";"PV26  ";"1964JJ00";"   15207";"    3892"
"676";"T001038";"PV26  ";"1965JJ00";"   14970";"    3568"
"677";"T001038";"PV26  ";"1966JJ00";"   14550";"    3953"
"678";"T001038";"PV26  ";"1967JJ00";"   14623";"    2590"
"679";"T001038";"PV26  ";"1968JJ00";"   14723";"    7636"
"680";"T001038";"PV26  ";"1969JJ00";"   15912";"    7645"
"681";"T001038";"PV26  ";"1970JJ00";"   15111";"    2620"
"682";"T001038";"PV26  ";"1971JJ00";"   14390";"    3282"
"683";"T001038";"PV26  ";"1972JJ00";"   13517";"    4753"
"684";"T001038";"PV26  ";"1973JJ00";"   12270";"    5420"
"685";"T001038";"PV26  ";"1974JJ00";"   11575";"    3572"
"686";"T001038";"PV26  ";"1975JJ00";"   11229";"    6455"
"687";"T001038";"PV26  ";"1976JJ00";"   11142";"    1718"
"688";"T001038";"PV26  ";"1977JJ00";"   10849";"     815"
"689";"T001038";"PV26  ";"1978JJ00";"   11046";"    2999"
"690";"T001038";"PV26  ";"1979JJ00";"   11165";"    5326"
"691";"T001038";"PV26  ";"1980JJ00";"   11606";"    7629"
"692";"T001038";"PV26  ";"1981JJ00";"   11625";"    4380"
"693";"T001038";"PV26  ";"1982JJ00";"   11203";"    2365"
"694";"T001038";"PV26  ";"1983JJ00";"   11296";"    2053"
"695";"T001038";"PV26  ";"1984JJ00";"   11758";"    2494"
"696";"T001038";"PV26  ";"1985JJ00";"   11797";"    3740"
"697";"T001038";"PV26  ";"1986JJ00";"   12588";"    4703"
"698";"T001038";"PV26  ";"1987JJ00";"   12733";"    6264"
"699";"T001038";"PV26  ";"1988JJ00";"   12845";"    5622"
"700";"T001038";"PV26  ";"1989JJ00";"   13669";"    5503"
"701";"T001038";"PV26  ";"1990JJ00";"   14149";"    5462"
"702";"T001038";"PV26  ";"1991JJ00";"   14371";"    4498"
"703";"T001038";"PV26  ";"1992JJ00";"   14369";"    3661"
"704";"T001038";"PV26  ";"1993JJ00";"   14318";"    3515"
"705";"T001038";"PV26  ";"1994JJ00";"   14141";"    1504"
"706";"T001038";"PV26  ";"1995JJ00";"   13930";"    1911"
"707";"T001038";"PV26  ";"1996JJ00";"   14186";"    3529"
"708";"T001038";"PV26  ";"1997JJ00";"   14359";"    3055"
"709";"T001038";"PV26  ";"1998JJ00";"   15030";"    3881"
"710";"T001038";"PV26  ";"1999JJ00";"   15370";"    2731"
"711";"T001038";"PV26  ";"2000JJ00";"   16080";"    3025"
"712";"T001038";"PV26  ";"2001JJ00";"   15807";"    4197"
"713";"T001038";"PV26  ";"2002JJ00";"   16101";"    5196"
"714";"T001038";"PV26  ";"2003JJ00";"   16222";"    2292"
"715";"T001038";"PV26  ";"2004JJ00";"   15771";"    1709"
