,Regions,Periods,LiveBornChildren_3,NetMigrationIncludingAdministrative_17
676,Limburg,1965,19822.0,1939.0
677,Limburg,1966,19499.0,-1163.0
678,Limburg,1967,18844.0,-6452.0
679,Limburg,1968,17900.0,-6155.0
680,Limburg,1969,18044.0,-2836.0
681,Limburg,1970,17291.0,3845.0
682,Limburg,1971,16081.0,1311.0
683,Limburg,1972,14937.0,772.0
684,Limburg,1973,13350.0,2169.0
685,Limburg,1974,12916.0,80.0
686,Limburg,1975,12331.0,3384.0
687,Limburg,1976,12259.0,-251.0
688,Limburg,1977,11829.0,1183.0
689,Limburg,1978,12202.0,359.0
690,Limburg,1979,12314.0,-899.0
691,Limburg,1980,12349.0,18.0
692,Limburg,1981,12222.0,-244.0
693,Limburg,1982,11677.0,-167.0
694,Limburg,1983,11664.0,-418.0
695,Limburg,1984,12045.0,-1311.0
696,Limburg,1985,12332.0,-784.0
697,Limburg,1986,12724.0,-338.0
698,Limburg,1987,12989.0,-206.0
699,Limburg,1988,12979.0,85.0
700,Limburg,1989,12875.0,724.0
701,Limburg,1990,13690.0,1690.0
702,Limburg,1991,13479.0,1559.0
703,Limburg,1992,13029.0,954.0
704,Limburg,1993,12899.0,2285.0
705,Limburg,1994,12700.0,1627.0
706,Limburg,1995,12474.0,1070.0
707,Limburg,1996,12100.0,448.0
708,Limburg,1997,11984.0,-142.0
709,Limburg,1998,12445.0,-637.0
710,Limburg,1999,12213.0,179.0
711,Limburg,2000,12235.0,-477.0
712,Limburg,2001,11884.0,-611.0
713,Limburg,2002,11484.0,-2332.0
714,Limburg,2003,11190.0,-3073.0
715,Limburg,2004,10753.0,-3214.0
716,Limburg,2005,10051.0,-4324.0
717,Limburg,2006,9857.0,-3877.0
718,Limburg,2007,9458.0,-3440.0
719,Limburg,2008,9401.0,-161.0
720,Limburg,2009,9741.0,625.0
721,Limburg,2010,9620.0,1044.0
722,Limburg,2011,9288.0,1580.0
723,Limburg,2012,9109.0,718.0
724,Limburg,2013,9011.0,159.0
725,Limburg,2014,8841.0,45.0
726,Limburg,2015,8739.0,1406.0
727,Limburg,2016,8994.0,3865.0
728,Limburg,2017,8821.0,2735.0
729,Limburg,2018,8710.0,2158.0
730,Limburg,2019,8668.0,4450.0
731,Limburg,2020,8652.0,3691.0
