,wijk,stadsdeel,year,woz-waarde
127,Westindische Buurt,West,2015,219466.0
128,Chassébuurt,West,2015,214799.0
129,Bedrijventerrein Sloterdijk,Nieuw-West,2015,
130,Slotermeer-Noordoost,Nieuw-West,2015,139528.0
131,Slotermeer-Zuidwest,Nieuw-West,2015,143197.0
132,Geuzenveld,Nieuw-West,2015,171886.0
133,Eendracht,Nieuw-West,2015,229317.0
134,Lutkemeer/Ookmeer,Nieuw-West,2015,368054.0
135,Osdorp-Oost,Nieuw-West,2015,166307.0
136,Osdorp-Midden,Nieuw-West,2015,181699.0
137,De Punt,Nieuw-West,2015,153818.0
138,Middelveldsche Akerpolder,Nieuw-West,2015,263399.0
139,Slotervaart-Noord,Nieuw-West,2015,185123.0
140,Overtoomse Veld,Nieuw-West,2015,176446.0
141,Westlandgracht,Nieuw-West,2015,191464.0
142,Sloter-/Riekerpolder,Nieuw-West,2015,251111.0
143,Slotervaart-Zuid,Nieuw-West,2015,179043.0
144,Zuidas,Zuid,2015,466043.0
145,Oude Pijp,Zuid,2015,254036.0
146,Nieuwe Pijp,Zuid,2015,238217.0
147,Zuid-Pijp,Zuid,2015,228441.0
148,Hoofddorppleinbuurt,Zuid,2015,232791.0
149,Schinkelbuurt,Zuid,2015,248310.0
150,Willemspark,Zuid,2015,609908.0
151,Museumkwartier,Zuid,2015,567512.0
152,Stadionbuurt,Zuid,2015,271460.0
153,Apollobuurt,Zuid,2015,664514.0
154,Scheldebuurt,Zuid,2015,310248.0
155,IJselbuurt,Zuid,2015,235385.0
156,Rijnbuurt,Zuid,2015,229718.0
157,Prinses Irenebuurt eo,Zuid,2015,506697.0
158,Buitenveldert-West,Zuid,2015,249529.0
159,Buitenveldert-Oost,Zuid,2015,231585.0
160,Weesperzijde,Oost,2015,275509.0
161,Oosterparkbuurt,Oost,2015,215454.0
162,Dapperbuurt,Oost,2015,216466.0
163,Transvaalbuurt,Oost,2015,204797.0
164,Indische Buurt-West,Oost,2015,188495.0
165,Indische Buurt-Oost,Oost,2015,192657.0
166,Oostelijk Havengebied,Oost,2015,315297.0
167,Zeeburgereiland/Nieuwe Diep,Oost,2015,123993.0
